,MSZoning,GrLivArea,YrSold,YearBuilt,SalePrice,LotArea,FullBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,GarageFinish,1stFlrSF,2ndFlrSF
379,RL,1800,2009,2000,179000,8123,2,3,7,2,Fin,1007,793
380,RL,1691,2010,1924,127000,5000,2,3,6,1,Unf,1026,665
381,FV,1301,2006,2006,187750,7200,2,2,5,2,RFn,1301,0
382,RL,1797,2007,2006,213500,9245,2,3,8,2,RFn,939,858
383,RH,784,2009,1928,76000,9000,1,2,5,2,Unf,784,0
384,RL,1953,2007,1992,240000,53107,2,3,9,2,Fin,1079,874
385,RL,1269,2010,2004,192000,3182,2,2,6,2,Fin,1269,0
386,RL,1184,2006,1910,81000,8410,1,5,8,0,,658,526
387,RL,1125,2009,1976,125000,7200,1,3,6,1,Unf,1125,0
388,RL,1479,2008,1999,191000,9382,2,3,6,2,RFn,1479,0
389,RL,2332,2008,2007,426000,12474,2,3,9,3,Fin,1742,590
390,RL,1367,2008,1900,119000,8405,1,4,7,1,Unf,961,406
391,RL,1961,2009,2001,215000,12209,2,3,7,2,Fin,804,1157
392,RL,882,2007,1959,106500,8339,1,3,5,1,RFn,882,0
393,RL,788,2006,1941,100000,7446,1,2,4,0,,788,0
394,RL,1034,2007,1940,109000,10134,1,2,5,1,Unf,735,299
395,RL,1144,2010,1956,129000,9571,1,3,6,1,Unf,1144,0
396,RL,894,2009,1972,123000,7200,1,2,6,2,RFn,894,0
397,RL,1812,2007,1962,169500,7590,2,4,8,1,RFn,876,936
398,RM,1077,2007,1920,67000,8967,1,2,6,1,Unf,1077,0
399,FV,1550,2009,2006,241000,8125,2,2,7,2,Fin,1112,438
400,RL,1288,2008,1996,245500,14963,1,1,4,2,Fin,1288,0
401,RL,1310,2006,2005,164990,8767,2,3,6,2,Fin,1310,0
402,RL,672,2008,1940,108000,10200,1,2,4,1,Unf,672,0
403,RL,2263,2006,1998,258000,12090,2,4,10,2,Fin,1165,1098
404,RL,1572,2007,1995,168000,10364,2,3,7,2,Fin,806,766
405,RL,1620,2009,1976,150000,9991,2,3,8,2,Unf,1620,0
406,RL,1639,2008,1936,115000,10480,1,3,6,1,Unf,1166,0
407,RL,1680,2008,1915,177000,15576,2,4,8,1,Unf,840,840
408,RL,2172,2007,2006,280000,14154,2,3,9,3,RFn,1071,1101
409,FV,2078,2008,2007,339750,10800,2,3,8,3,Fin,1050,1028
410,RL,1276,2009,1958,60000,9571,1,3,5,1,Unf,1276,0
411,RL,1056,2006,1955,145000,34650,1,3,5,2,Fin,1056,0
412,FV,1478,2010,2009,222000,4403,2,2,7,2,Fin,1478,0
413,RM,1028,2010,1927,115000,8960,1,2,5,2,Unf,1028,0
414,RL,2097,2008,1993,228000,11228,2,3,9,3,Unf,1080,1017
415,RL,1340,2007,2007,181134,8899,2,3,6,2,Fin,1340,0
416,RL,1400,2006,1978,149500,7844,1,3,6,2,Fin,672,728
417,RL,2624,2007,1918,239000,22420,2,4,10,3,Unf,1370,1254
418,RL,1134,2007,1940,126000,8160,1,3,7,1,Unf,756,378
419,RL,1056,2010,1968,142000,8450,1,3,6,1,Unf,1056,0
420,RM,1344,2008,1997,206300,7060,2,2,8,4,Fin,1344,0
421,RL,1602,2009,1977,215000,16635,2,3,8,2,Fin,1602,0
422,RL,988,2008,1954,113000,21750,1,2,4,2,RFn,988,0
423,RL,2630,2008,1998,315000,9200,2,4,8,3,Fin,1470,1160
424,RL,1196,2008,1956,139000,9000,1,2,6,1,RFn,1196,0
425,RM,1389,2009,1946,135000,3378,1,3,6,1,Unf,707,682
426,RL,1644,2009,1989,275000,12800,2,2,5,2,Fin,1644,0
427,RL,907,2008,1957,109008,8593,1,3,5,1,Unf,907,0
428,RL,1208,2007,2007,195400,6762,2,2,6,2,RFn,1208,0
429,RL,1412,2009,1988,175000,11457,2,3,6,2,Unf,1412,0
430,RM,987,2008,1971,85400,1680,1,2,4,1,Unf,483,504
431,RM,1198,2008,1920,79900,5586,1,4,7,0,,1088,110
432,RM,1365,2007,1971,122500,1920,1,2,6,2,Unf,765,600
433,RL,1604,2008,1997,181000,10839,2,3,7,2,Fin,926,678
434,RM,630,2008,1972,81000,1890,1,1,3,0,,630,0
435,RL,1661,2009,1996,212000,10667,2,3,6,2,RFn,827,834
436,RM,1118,2006,1920,116000,4400,1,2,6,2,Unf,734,384
437,RM,904,2009,1926,119000,6000,1,2,4,1,Unf,904,0
438,RL,694,2007,1913,90350,4280,1,2,4,1,Unf,694,0
439,RL,1196,2009,1920,110000,12354,1,3,7,2,Unf,684,512
440,RL,2402,2009,2008,555000,15431,2,2,10,3,Fin,2402,0
441,RL,1440,2008,1955,118000,12108,2,4,8,0,,1440,0
442,RM,1573,2008,1930,162900,6240,2,3,8,2,Unf,1128,445
443,RL,1258,2007,2006,172500,3922,2,2,6,3,Fin,1258,0
444,RL,1908,2008,1994,210000,8750,2,4,8,2,Unf,933,975
445,RL,1689,2009,1956,127500,9855,1,3,7,2,Unf,1689,0
446,RL,1888,2010,1966,190000,16492,2,2,6,2,Fin,1888,0
447,RL,1886,2006,1998,199900,11214,2,4,10,2,Fin,956,930
448,RM,1376,2006,1937,119500,8600,2,3,7,1,Unf,780,596
449,RM,1183,2007,1948,120000,6000,1,2,6,1,Unf,679,504
450,RM,813,2006,1930,110000,5684,1,2,5,1,Unf,813,0
451,RL,1533,2006,1975,280000,70761,2,2,5,2,Unf,1533,0
452,RL,1756,2007,1996,204000,9303,2,3,7,2,Fin,888,868
453,FV,1590,2009,2008,210000,9000,2,3,6,2,RFn,786,804
454,RL,1728,2006,1976,188000,9297,2,4,8,2,Unf,1728,0
455,RL,1242,2007,1973,175500,9600,1,3,6,2,Unf,1242,0
456,RM,1344,2008,1916,98000,4571,1,4,7,3,Unf,624,720
457,RL,1663,2008,1954,256000,53227,1,2,6,2,Fin,1663,0
458,RM,1666,2008,1925,161000,5100,1,3,7,1,Unf,833,833
459,RL,1203,2009,1950,110000,7015,1,3,5,1,Unf,979,224
460,FV,1935,2009,2009,263435,8004,2,3,8,2,Fin,832,1103
461,RL,1135,2009,1936,155000,7200,1,3,6,2,RFn,575,560
462,RL,864,2009,1965,62383,8281,1,3,5,1,Unf,864,0
463,RL,1660,2008,1934,188700,11988,1,3,6,1,Unf,849,811
464,RL,1040,2009,1978,124000,8430,2,3,5,0,,1040,0
465,RM,1414,2006,2004,178740,3072,2,2,6,2,Fin,1414,0
466,RL,1277,2007,1970,167000,10628,1,2,5,2,Unf,1277,0
467,RL,1644,2007,1942,146500,9480,1,3,7,1,Unf,888,756
468,RL,1634,2007,2006,250000,11428,2,3,7,3,RFn,1634,0
469,RL,1710,2008,1993,187000,9291,2,3,7,2,RFn,832,878
470,RL,1502,2010,1985,212000,6820,1,1,4,2,RFn,1502,0
471,RL,1969,2007,1977,190000,11952,2,3,8,2,RFn,1161,808
472,RM,1072,2008,2005,148000,3675,1,2,5,2,RFn,1072,0
473,RL,1976,2007,2006,440000,14977,2,2,7,3,RFn,1976,0
474,RL,1652,2007,2000,251000,5330,2,2,6,2,RFn,1652,0
475,RL,970,2007,1963,132500,8480,1,2,5,2,Unf,970,0
476,RL,1493,2008,1997,208900,13125,2,3,7,2,Fin,1493,0
477,RL,2643,2007,2006,380000,13693,2,3,9,3,Fin,2069,574
478,RL,1718,2009,2007,297000,10637,2,3,7,3,RFn,1718,0
479,RM,1131,2007,1937,89471,5925,1,2,7,2,Unf,1131,0
480,RL,1850,2006,2004,326000,16033,2,3,8,3,Fin,1850,0
481,RL,1792,2006,2003,374000,11846,2,2,6,3,Fin,1792,0
482,RM,1826,2009,1915,155000,2500,1,4,7,1,Unf,916,910
483,RM,1216,2006,1998,164000,4500,2,2,5,2,Unf,1216,0
484,RL,999,2007,1962,132500,7758,1,3,6,1,Unf,999,0
485,RL,1113,2009,1950,147000,9600,1,3,5,1,Unf,1113,0
486,RL,1073,2007,1965,156000,10289,1,3,6,2,RFn,1073,0
487,RL,1484,2007,1971,175000,12243,2,3,7,2,Unf,1484,0
488,RL,2414,2006,1900,160000,10800,2,3,10,2,Unf,1766,648
489,RM,630,2009,1970,86000,1526,1,1,3,1,Unf,630,0
490,RM,1304,2008,1976,115000,2665,1,3,4,1,Fin,616,688
491,RL,1578,2006,1941,133000,9490,1,3,5,1,Unf,958,620
492,RL,1456,2006,2006,172785,15578,2,3,8,2,RFn,728,728
493,RL,1269,2008,1960,155000,7931,1,3,6,1,Unf,1269,0
494,RM,886,2009,1938,91300,5784,1,2,4,1,Unf,886,0
495,C (all),720,2009,1920,34900,7879,1,2,4,0,,720,0
496,RL,3228,2007,1992,430000,12692,3,4,10,2,RFn,3228,0
497,RL,1820,2008,1925,184000,9120,2,4,8,1,Unf,1133,687
498,RL,899,2009,1967,130000,7800,1,3,5,1,Fin,899,0
499,RL,912,2007,1958,120000,7535,1,2,5,1,Fin,912,0
500,RM,1218,2007,1973,113000,1890,1,3,7,1,Unf,672,546
501,FV,1768,2008,2005,226700,9803,2,3,7,2,RFn,866,902
502,RL,1214,2007,1965,140000,9170,1,2,6,2,Unf,1214,0
503,RL,1801,2010,1959,289000,15602,2,1,6,2,Fin,1801,0
504,RL,1322,2009,1974,147000,2308,2,3,6,2,Unf,855,467
505,RM,1960,2009,1952,124500,7596,2,4,10,2,Unf,960,1000
506,RL,1911,2006,1993,215000,9554,2,3,8,2,RFn,1065,846
507,FV,1218,2009,2009,208300,7862,2,2,4,2,Fin,1218,0
508,RM,1378,2008,1928,161000,9600,2,3,7,2,Unf,689,689
509,RL,1041,2009,1959,124500,9600,1,3,6,1,RFn,1041,0
510,RL,1363,2009,1951,164900,14559,1,2,6,1,Unf,1363,0
511,RL,1368,2006,2005,202665,6792,2,2,6,2,RFn,1368,0
512,RL,864,2006,1958,129900,9100,1,3,5,2,Unf,864,0
513,RL,1080,2007,1983,134000,9187,1,3,5,2,Unf,1080,0
514,RL,789,2007,1926,96500,10594,1,2,5,1,Unf,789,0
515,RL,2020,2009,2009,402861,12220,2,3,9,3,Fin,2020,0
516,RL,2119,2009,1972,158000,10448,2,3,7,2,RFn,1378,741
517,RL,2344,2009,1996,265000,10208,2,3,7,3,RFn,1277,1067
518,RL,1796,2007,1998,211000,9531,2,3,7,2,RFn,882,914
519,RL,2080,2009,1926,234000,10918,1,3,9,1,Unf,1276,804
520,RL,1294,2008,1900,106250,10800,2,3,7,0,,694,600
521,RL,1244,2007,1957,150000,11988,1,3,6,1,Unf,1244,0
522,RM,1664,2006,1947,159000,5000,2,3,7,2,Unf,1004,660
523,RL,4676,2007,2007,184750,40094,3,3,11,3,Fin,3138,1538
524,RL,2398,2007,1996,315750,11787,2,3,8,3,Fin,1383,1015
525,FV,1266,2006,2005,176000,7500,2,3,6,2,Unf,1266,0
526,RL,928,2007,1956,132000,13300,1,2,4,1,Unf,928,0
527,RL,2713,2008,2008,446261,14948,2,3,11,3,Fin,1476,1237
528,RL,605,2007,1920,86000,9098,1,2,5,0,,605,0
529,RL,2515,2007,1957,200624,32668,3,4,9,2,RFn,2515,0
530,RL,1509,2008,1988,175000,10200,2,3,5,2,RFn,1509,0
531,RM,1362,2008,1920,128000,6155,2,3,6,2,Fin,751,611
532,RL,827,2010,1955,107500,7200,1,2,5,1,Unf,827,0
533,RL,334,2007,1946,39300,5000,1,1,2,0,,334,0
534,RL,1414,2006,2004,178000,9056,2,3,6,2,Fin,707,707
535,RL,1347,2008,1910,107500,7000,1,3,5,0,,820,527
536,RL,1724,2008,1998,188000,8924,2,3,8,2,Fin,880,844
537,RL,864,2008,1972,111250,12735,1,3,5,2,Unf,864,0
538,RL,1159,2006,1968,158000,11553,1,3,7,1,Unf,1159,0
539,RL,1601,2010,2001,272000,11423,2,3,6,2,RFn,1601,0
540,RL,1838,2009,2006,315000,14601,2,2,8,3,Fin,1838,0
541,RL,2285,2007,2000,248000,11000,2,4,8,3,Fin,997,1288
542,RL,1680,2009,1998,213250,10140,2,3,7,2,Fin,1680,0
543,RH,767,2007,1998,133000,4058,1,1,4,1,Fin,767,0
544,RL,1496,2006,2006,179665,17104,2,3,7,2,RFn,664,832
545,RL,2183,2006,1988,229000,13837,2,4,9,3,Unf,1377,806
546,RL,1635,2007,1923,210000,8737,1,3,6,2,Unf,915,720
547,RL,768,2007,1970,129500,7244,1,2,5,2,Unf,768,0
548,RM,825,2008,1955,125000,8235,1,2,4,2,RFn,825,0
549,FV,2094,2009,2003,263000,9375,2,4,8,2,Fin,912,1182
550,RL,1069,2008,1977,140000,4043,2,2,4,2,RFn,1069,0
551,RM,928,2008,1957,112500,6000,1,3,5,1,Fin,928,0
552,RL,1717,2009,2006,255500,11146,2,3,7,3,RFn,1717,0
553,RL,1126,2009,1949,108000,8777,2,2,5,2,Fin,1126,0
554,RL,2046,2008,2003,284000,10625,2,3,8,3,RFn,1006,1040
555,RM,1048,2006,1922,113000,6380,1,2,5,1,Unf,1048,0
556,RL,1092,2006,1957,141000,14850,1,2,6,1,Fin,1092,0
557,C (all),1336,2006,1920,108000,11040,1,3,7,1,Unf,897,439
558,RL,1446,2008,1996,175000,21872,2,3,6,2,Unf,729,717
559,RL,1557,2006,2003,234000,3196,2,2,7,2,Fin,1557,0
560,RL,1392,2010,1957,121500,11341,1,3,5,2,Unf,1392,0
561,RL,1389,2006,1974,170000,10010,1,2,6,2,RFn,1389,0
562,RL,996,2008,1940,108000,13907,1,3,6,0,,996,0
563,RL,1674,2008,1918,185000,21780,2,4,8,2,Fin,1163,511
564,RL,2295,2006,1992,268000,13346,2,4,9,2,RFn,1166,1129
565,RL,1647,2010,1915,128000,6858,1,4,6,1,Unf,841,806
566,RL,2504,2008,2005,325000,11198,2,4,11,3,Fin,1134,1370
567,RL,1535,2010,2004,214000,10171,2,3,7,2,RFn,1535,0
568,RL,2132,2009,1983,316600,12327,1,1,5,2,Fin,1496,636
569,RL,943,2006,1979,135960,7032,1,2,4,2,Unf,943,0
570,RL,1728,2008,1965,142600,13101,2,6,10,2,Unf,1728,0
571,RL,864,2006,1959,120000,7332,1,2,4,1,Unf,864,0
572,RL,1692,2009,2009,224500,13159,2,3,6,2,RFn,846,846
573,RL,1430,2007,2000,170000,9967,2,3,8,2,RFn,774,656
574,RL,1109,2007,1971,139000,10500,1,3,5,1,Unf,576,533
575,RL,1216,2008,1947,118500,8480,1,2,6,1,Unf,832,384
576,RL,1477,2009,1928,145000,6292,2,3,6,1,Unf,877,600
577,RL,1320,2006,1966,164500,11777,1,3,6,2,RFn,1320,0
578,FV,1392,2008,2007,146000,3604,2,2,5,2,Unf,703,689
579,RM,1795,2008,1954,131500,12150,2,4,7,1,Unf,1050,745
580,RL,1429,2007,1960,181900,14585,1,3,7,2,Unf,1429,0
581,RL,2042,2009,2008,253293,12704,2,3,8,3,RFn,2042,0
582,RL,816,2007,1990,118500,11841,1,3,5,0,,816,0
583,RM,2775,2008,1893,325000,13500,3,3,9,2,Unf,1521,1254
584,RM,1573,2009,1935,133000,6120,1,3,6,1,Unf,989,584
585,RL,2028,2006,2005,369900,11443,2,2,7,3,RFn,2028,0
586,RL,838,2008,1918,130000,10267,1,2,5,1,Fin,838,0
587,RL,860,2009,1982,137000,8740,1,2,4,2,Unf,860,0
588,RL,1473,2009,1968,143000,25095,1,1,5,1,Unf,1473,0
589,RM,935,2008,1930,79500,9100,1,2,4,1,Unf,779,0
590,RL,1582,2008,2004,185900,8320,2,3,6,2,RFn,770,812
591,RL,2296,2009,2008,451950,13478,2,3,10,3,RFn,1728,568
592,RL,816,2008,1982,138000,6600,1,2,4,2,Fin,816,0
593,RM,848,2009,2003,140000,4435,1,1,4,2,Fin,848,0
594,RL,924,2008,1975,110000,7990,1,3,5,1,Unf,924,0
595,RL,1826,2006,2005,319000,11302,2,3,7,3,Fin,1826,0
596,RM,1368,2006,1910,114504,3600,1,3,7,1,Unf,684,684
597,RL,1402,2007,2006,194201,3922,0,2,7,3,Fin,1402,0
598,RL,1647,2006,1977,217500,12984,2,3,7,2,Fin,1647,0
599,RM,1556,2008,1980,151000,1950,2,3,6,2,Fin,716,840
600,RL,1904,2006,2005,275000,10927,2,3,8,2,Fin,1058,846
601,RM,1375,2007,1937,141000,9000,1,3,6,1,Unf,780,595
602,RL,1915,2006,1992,220000,10041,2,3,8,2,Fin,927,988
603,FV,1200,2010,2004,151000,3182,2,2,4,2,RFn,600,600
604,RL,1494,2008,2002,221000,12803,2,3,6,2,RFn,1494,0
605,RL,1986,2009,1965,205000,13600,2,3,7,2,Unf,1186,800
606,RL,1040,2009,1996,152000,12464,1,3,6,2,Unf,1040,0
607,RL,2008,2006,1948,225000,7800,3,3,8,1,Unf,1112,896
608,RL,3194,2007,1934,359100,12168,2,4,10,2,Unf,1940,1254
609,RL,1029,2007,1961,118500,7943,1,3,5,1,Unf,1029,0
610,RL,2153,2009,2000,313000,11050,2,3,8,3,Fin,1476,677
611,RL,1032,2007,1978,148000,10395,2,3,6,2,Unf,1032,0
612,RL,1872,2009,2001,261500,11885,2,3,7,2,RFn,1299,573
613,RL,1120,2007,2007,147000,8402,1,3,6,0,,1120,0
614,RM,630,2010,1972,75500,1491,1,1,3,0,,630,0
615,RL,1054,2010,1963,137500,8800,1,3,6,2,RFn,1054,0
616,RL,1509,2006,2002,183200,7861,2,3,7,2,Fin,807,702
617,RL,832,2008,1954,105500,7227,1,2,4,2,Unf,832,0
618,RL,1828,2007,2007,314813,11694,2,3,9,3,Unf,1828,0
619,RL,2262,2008,2003,305000,12244,2,4,10,3,Fin,1482,780
620,RL,864,2008,1914,67000,8248,1,2,5,0,,864,0
621,RL,2614,2008,1974,240000,10800,2,4,9,2,RFn,1548,1066
622,RL,980,2009,1977,135000,7064,1,3,6,2,Unf,980,0
623,FV,1512,2007,2000,168500,2117,2,2,4,2,Unf,756,756
624,RL,1790,2006,1972,165150,10400,1,4,8,2,RFn,1012,778
625,RL,1116,2010,1962,160000,10000,1,3,5,2,Unf,1116,0
626,RL,1422,2007,1960,139900,12342,1,3,6,1,RFn,1422,0
627,RL,1520,2010,1955,153000,9600,1,3,7,1,RFn,1520,0
628,RL,2080,2007,1969,135000,11606,1,5,9,2,Unf,1040,1040
629,RL,1350,2008,1964,168500,9020,1,3,6,2,RFn,1350,0
630,RM,1750,2006,1880,124000,9000,1,3,8,1,Unf,1089,661
631,RL,1554,2007,2006,209500,4590,2,2,6,2,RFn,1554,0
632,RL,1411,2009,1977,82500,11900,2,3,6,2,Fin,1411,0
633,RL,1056,2007,1954,139400,9250,1,3,6,1,Unf,1056,0
634,RL,1056,2010,1980,144000,6979,0,0,4,2,Unf,1056,0
635,RH,3395,2007,1914,200000,10896,2,8,14,0,,1440,1440
636,RM,800,2009,1936,60000,6120,1,1,4,0,,800,0
637,RM,1387,2009,1954,93000,6000,2,3,7,1,Unf,811,576
638,RL,796,2008,1910,85000,8777,1,2,4,0,,796,0
639,RL,1567,2006,2006,264561,3982,2,1,7,3,Fin,1567,0
640,RL,1518,2008,2003,274000,12677,1,1,6,2,RFn,1518,0
641,FV,1929,2007,2001,226000,7050,2,3,7,2,Fin,1057,872
642,RL,2704,2009,1972,345000,13860,2,4,9,2,Fin,2000,704
643,RL,1620,2007,1969,152000,10793,2,4,7,2,Fin,780,840
644,FV,1766,2009,2009,370878,9187,2,2,7,3,Fin,1766,0
645,RL,981,2007,1971,143250,10530,1,3,5,2,Unf,981,0
646,RL,1048,2008,1950,98300,7200,1,3,7,2,Unf,1048,0
647,RL,1094,2008,1953,155000,10452,1,3,5,2,RFn,1094,0
648,RL,1839,2010,1966,155000,7700,1,4,7,2,Unf,1051,788
649,RM,630,2007,1970,84500,1936,1,1,3,0,,630,0
650,FV,1665,2008,2007,205950,8125,2,3,7,2,RFn,822,843
651,RL,1510,2009,1940,108000,9084,1,4,7,1,Unf,755,755
652,RL,1716,2009,1996,191000,8750,2,2,7,2,RFn,909,807
653,RM,1469,2008,1906,135000,10320,1,3,7,1,Unf,756,713
654,RL,2113,2008,1995,350000,10437,2,2,7,3,Fin,2113,0
655,RM,1092,2010,1971,88000,1680,1,3,6,1,Unf,525,567
656,RL,1053,2008,1959,145500,10007,1,3,5,1,RFn,1053,0
657,RL,1502,2008,1931,149000,7200,1,3,6,1,RFn,851,651
658,RL,1458,2010,1948,97500,17503,1,3,6,1,Unf,912,546
659,RL,1486,2009,1964,167000,9937,1,3,7,2,Fin,1486,0
660,RL,1935,2007,1976,197900,12384,2,3,7,2,RFn,1142,793
661,RL,2448,2009,1994,402000,46589,2,4,8,3,RFn,1686,762
662,RL,1392,2009,1968,110000,13560,1,2,5,2,RFn,1392,0
663,RL,1181,2008,1972,137500,10012,2,3,6,2,RFn,1181,0
664,RL,2097,2006,2005,423000,20896,1,1,8,3,Fin,2097,0
665,RL,1936,2006,2000,230500,11194,2,3,7,2,RFn,1454,482
666,RL,2380,2007,1965,129000,18450,2,3,7,2,Unf,1465,915
667,RL,1679,2008,1994,193500,8125,2,3,7,2,RFn,1679,0
668,RL,1437,2006,1956,168000,14175,1,3,6,2,Unf,1437,0
669,RL,1180,2006,1922,137500,11600,1,2,5,1,Unf,1180,0
670,RL,1476,2009,2005,173500,8633,2,3,7,2,Fin,738,738
671,RH,1369,2009,1925,103600,6629,2,3,6,1,Unf,697,672
672,RL,1208,2006,1977,165000,11250,1,3,6,2,RFn,1208,0
673,RL,1839,2007,1957,257500,14442,2,3,7,2,Fin,1839,0
674,RL,1136,2008,1965,140000,9200,1,3,5,1,RFn,1136,0
675,RL,1441,2009,1978,148500,2289,2,3,7,2,Unf,855,586
676,RM,1774,2006,1900,87000,9600,2,4,8,3,Unf,1095,679
677,RL,792,2009,1924,109500,9022,1,2,5,1,Unf,792,0
678,RL,2046,2009,2008,372500,11844,2,3,7,3,Fin,2046,0
679,RL,988,2007,1961,128500,9945,1,3,5,2,Unf,988,0
680,RL,923,2010,1980,143000,8012,2,2,5,1,RFn,923,0
681,RH,1520,2009,1932,159434,4500,1,3,6,1,Unf,848,672
682,RL,1291,2008,1996,173000,2887,1,2,6,2,Unf,1291,0
683,RL,1668,2007,2002,285000,11248,2,3,7,3,Fin,1668,0
684,RL,1839,2010,1998,221000,16770,2,4,7,2,Fin,1195,644
685,RL,2090,2007,1984,207500,5062,2,3,6,2,Fin,1190,900
686,FV,1761,2007,2007,227875,10207,3,3,7,2,Fin,874,887
687,FV,1102,2007,2004,148800,5105,2,2,4,2,Unf,551,551
688,RL,1419,2007,2007,392000,8089,2,2,7,2,RFn,1419,0
689,RL,1362,2007,2005,194700,7577,2,2,6,2,RFn,1362,0
690,RM,848,2008,2004,141000,4426,1,1,3,2,RFn,848,0
691,RL,4316,2007,1994,755000,21535,3,4,10,3,Fin,2444,1872
692,RL,2519,2006,1989,335000,26178,2,4,9,2,RFn,1238,1281
693,RL,1073,2006,1921,108480,5400,1,2,4,1,Unf,1073,0
694,RM,1539,2009,1936,141500,6120,1,3,5,2,Unf,1067,472
695,RL,1137,2006,1987,176000,13811,2,2,5,2,Unf,1137,0
696,RM,616,2006,1921,89000,6000,1,2,4,1,Unf,616,0
697,RL,1148,2006,1952,123500,6420,1,2,6,1,Unf,1148,0
698,RL,894,2010,1965,138500,8450,1,3,5,1,Unf,894,0
699,FV,1391,2008,2004,196000,4282,2,2,5,2,RFn,1391,0
700,RL,1800,2006,2002,312500,14331,2,3,7,3,Fin,1800,0
701,RL,1164,2006,1969,140000,9600,1,3,6,2,Unf,1164,0
702,RL,2576,2006,2006,361919,12438,2,4,10,3,Fin,1264,1312
703,RM,1812,2010,1900,140000,7630,2,4,8,2,Unf,1032,780
704,RL,1484,2010,2004,213000,8400,2,3,7,2,RFn,1484,0
705,RM,1092,2010,1930,55000,5600,2,3,7,0,,372,720
706,RL,1824,2007,1971,302000,115149,2,2,5,2,Unf,1824,0
707,RL,1324,2009,2006,254000,6240,2,2,6,2,Fin,1324,0
708,RL,1456,2007,2007,179540,9018,2,3,8,2,Fin,728,728
709,RL,904,2008,1966,109900,7162,1,3,6,1,Unf,904,0
710,RL,729,2008,1935,52000,4130,1,2,5,0,,729,0
711,C (all),1178,2010,1900,102776,8712,1,2,7,1,RFn,859,319
712,RL,1228,2008,1988,189000,4671,2,2,5,2,Fin,1228,0
713,RL,960,2006,1970,129000,9873,1,3,6,2,Unf,960,0
714,RL,1479,2010,1976,130500,13517,2,3,6,2,RFn,725,754
715,RL,1350,2009,1974,165000,10140,2,3,7,2,RFn,1350,0
716,RM,2554,2007,1890,159500,10800,1,3,8,2,Unf,1576,978
717,RL,1178,2008,1973,157000,10000,1,3,5,2,Unf,1178,0
718,RL,2418,2008,1993,341000,10542,2,3,9,3,RFn,1325,1093
719,RL,971,2006,1969,128500,9920,1,3,5,1,Unf,971,0
720,RL,1742,2006,1985,275000,6563,2,2,5,2,RFn,1742,0
721,RM,848,2010,2004,143000,4426,1,1,3,2,RFn,848,0
722,RL,864,2009,1970,124500,8120,1,3,5,2,Unf,864,0
723,RL,1470,2008,1954,135000,8172,2,4,7,1,Unf,997,473
724,RL,1698,2009,2007,320000,13286,2,3,8,3,Fin,1698,0
725,RL,864,2009,1970,120500,6960,1,3,5,2,Unf,864,0
726,RL,1680,2009,1988,222000,21695,2,3,5,2,Fin,1680,0
727,RL,1232,2009,2007,194500,7314,2,2,6,2,RFn,1232,0
728,RL,1776,2009,1958,110000,11475,2,4,9,3,Unf,1776,0
729,RM,1208,2009,1925,103000,6240,1,2,5,2,Unf,848,0
730,RL,1616,2010,1995,236500,5389,2,2,5,2,RFn,1616,0
731,RL,1146,2007,2003,187500,9590,2,3,6,2,Fin,1146,0
732,RL,2031,2008,1998,222500,11404,2,3,8,2,Fin,1153,878
733,RL,1144,2009,1961,131400,10000,1,3,6,1,RFn,1144,0
734,RL,948,2007,1968,108000,8978,1,3,6,1,Unf,948,0
735,RM,1768,2006,1914,163000,10800,1,2,6,2,Unf,880,888
736,RL,1040,2006,1950,93500,8544,2,2,6,2,Unf,1040,0
737,RL,1801,2006,2005,239900,10463,2,3,8,3,Fin,901,900
738,RL,1200,2009,1987,179000,10800,3,3,5,0,,1200,0
739,RL,1728,2009,2004,190000,9313,2,3,7,2,RFn,864,864
740,RM,1432,2007,1910,132000,9600,2,2,7,2,Unf,768,664
741,RL,912,2008,1961,142000,6768,1,3,5,1,Unf,912,0
742,RL,1349,2007,2000,179000,8450,2,3,6,2,Unf,1349,0
743,RL,1464,2009,1963,175000,12886,2,3,6,2,RFn,1464,0
744,RL,1337,2008,1993,180000,5395,2,2,5,2,RFn,1337,0
745,RL,2715,2008,1976,299800,8963,3,4,11,2,Fin,1175,1540
746,RL,2256,2009,2000,236000,8795,2,4,8,2,Fin,980,1276
747,RM,2640,2009,1880,265979,11700,1,4,8,4,Unf,1320,1320
748,RL,1720,2010,1996,260400,10593,2,3,7,2,Fin,1720,0
749,RL,1529,2009,1945,98000,8405,2,4,9,1,Unf,1088,441
750,RM,1140,2010,1910,96500,8800,1,3,7,0,,792,348
751,RL,1320,2007,2003,162000,7750,2,3,6,2,Fin,660,660
752,RL,1494,2006,1997,217000,9236,2,3,6,2,RFn,1494,0
753,RL,2098,2006,2005,275500,10240,2,3,8,3,RFn,1038,1060
754,RL,1026,2009,1969,156000,7930,1,3,5,2,RFn,1026,0
755,FV,1471,2009,1999,172500,3230,2,3,6,2,Unf,742,729
756,RL,1768,2009,2007,212000,10769,2,3,7,2,RFn,866,902
757,RL,1386,2010,1978,158900,11616,2,3,6,2,Fin,672,714
758,FV,1501,2008,1999,179400,2280,2,3,6,2,Unf,757,744
759,RL,2531,2007,1995,290000,12257,2,4,9,3,RFn,1328,1203
760,RL,864,2009,1959,127500,9100,1,2,5,1,Unf,864,0
761,RM,1301,2009,1924,100000,6911,1,2,5,2,Unf,1301,0
